Country,Year,Area_sq_km,Gdp_usd,Heath_expend_pc_usd,Population_0_14,Population_15_64,Population_65_up,Population,Population_urb
France,2017,547557,2595151045197.65,4424.5078125,12109023,41603803,13151553,66864379,53611859
France,2018,547557,2787863958885.49,4690.07226563,12024710,41524833,13416369,66965912,53870058
France,2019,NA,2715518274227.45,NA,11937389,41444858,13673607,67055854,54120109
France,2020,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2015,348860,3356235704119.75,4622.20654297,10796469,53557394,17332748,81686611,63062064
Germany,2016,349360,3467498002104.33,4742.03417969,10964972,53852728,17530969,82348669,63592936
Germany,2017,349370,3682602479929.42,5052.67333984,11117936,53874035,17665031,82657002,63861626
Germany,2018,349380,3963767526250.98,5472.20214844,11292622,53819953,17793207,82905782,64096118
Germany,2019,NA,3861123558039.21,NA,11466404,53709229,17917329,83092962,64294010
Germany,2020,NA,NA,NA,NA,NA,NA,NA,NA
Greece,2015,128900,196591353872.132,1452.07446289,1575504,6992363,2253017,10820883,8445266
Greece,2016,128900,195222443844.783,1488.1986084,1546920,6952093,2276958,10775971,8446960
Greece,2017,128900,203588424740.3,1505.94140625,1527681,6925566,2301432,10754679,8466513
Greece,2018,128900,218138367208.799,1566.89990234,1510250,6898397,2324235,10732882,8485202
Greece,2019,NA,209852761132.839,NA,1489322,6876343,2351504,10717169,8508146
Greece,2020,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2015,91260,125074286021.14,870.51922607,1422182,6701387,1719459,9843028,6939335
Hungary,2016,91260,128470534117.954,914.19354248,1410375,6636894,1766754,9814023,6946267
Hungary,2017,91260,142961605733.026,981.03887939,1406752,6562819,1818395,9787966,6955524
Hungary,2018,91260,160418835850.907,1081.80285645,1408854,6493935,1872776,9775564,6974963
Hungary,2019,NA,163469042867.956,NA,1410290,6436478,1924373,9771141,7000436
Hungary,2020,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,2015,100250,17389101639.0017,4281.57568359,67198,218248,45368,330815,309974
Iceland,2016,100250,20618363251.6229,5067.69091797,67572,220678,47189,335439,314424
Iceland,2017,100250,24488176540.5908,6109.91210938,68644,225218,49537,343400,322016
Iceland,2018,100830,25737594324.022,6530.93212891,69953,230583,52185,352721,330898
Iceland,2019,NA,24188038473.5438,NA,70840,234945,54777,360563,338406
Iceland,2020,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,2015,68890,291499812214.551,4561.73779297,1028445,3072081,601431,4701957,2940510
Ireland,2016,68890,300523297823.576,4717.56835938,1034539,3095584,625212,4755335,2983355
Ireland,2017,68890,335663113507.851,5019.70117188,1038553,3119517,649317,4807388,3026107
Ireland,2018,68890,382674360648.245,5489.07080078,1041918,3150506,674892,4867316,3074684
Ireland,2019,NA,388698711348.156,NA,1043568,3188712,701760,4934040,3128428
Ireland,2020,NA,NA,NA,NA,NA,NA,NA,NA
Italy,2015,294140,1835899237320.04,2675.67163086,8329425,39071616,13329540,60730582,42247229
Italy,2016,294140,1875797463583.87,2699.73291016,8248168,38898890,13480440,60627498,42351339
Italy,2017,294140,1961796197354.36,2809.72143555,8157364,38758774,13620571,60536709,42462869
Italy,2018,297730,2091544955092.31,2988.99584961,8053687,38621108,13746965,60421760,42559879
Italy,2019,NA,2003576145498.04,NA,7939770,38485523,13876800,60302093,42655289
Italy,2020,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2015,62130,27239653843.5022,775.86431885,298494,1293047,385986,1977527,1344323
Latvia,2016,62120,28052325862.0461,874.79772949,298410,1275493,385634,1959537,1332897
Latvia,2017,62110,30458763245.5118,932.50158691,302530,1254506,385212,1942248,1322185
Latvia,2018,62090,34416012859.1866,1101.49255371,308266,1232632,386275,1927174,1313215
Latvia,2019,NA,34102913582.4235,NA,312101,1212516,389205,1913822,1305648
Latvia,2020,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,2015,62650,41418872976.1196,920.19976807,423963,1938149,542799,2904910,1952971
Lithuania,2016,62642,43018087237.5741,988.5279541,419963,1904209,544059,2868231,1932212
Lithuania,2017,62641,47758736931.7801,1083.30334473,416553,1865942,545909,2828403,1909625
Lithuania,2018,62630,53722883091.3513,1249.25463867,416938,1832561,552045,2801543,1896056
Lithuania,2019,NA,54627411860.4705,NA,422905,1807978,563254,2794137,1895962
Lithuania,2020,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2015,2430,57744457954.7297,5421.93212891,93289,396603,79712,569604,513663
Luxembourg,2016,2430,60691483443.1221,5475.13964844,94516,405770,81728,582014,526490
Luxembourg,2017,2430,64181944722.7283,5713.11865234,95802,416411,84123,596336,541038
Luxembourg,2018,2430,70919958015.5247,6227.08398438,96535,425188,86226,607950,553119
Luxembourg,2019,NA,71104919108.1411,NA,97385,434111,88505,620001,565584
Luxembourg,2020,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,2015,32880,7745231660.33425,186.43643188,447627,2102062,284841,2834530,1204392
Moldova,2016,32880,8071480540.86068,171.18476868,442335,2067961,291874,2802170,1191230
Moldova,2017,32890,9669759987.02633,191.19487,435757,2018835,300566,2755158,1172513
Moldova,2018,32885.3,11456717193.2501,212.97038269,429525,1968069,310620,2708214,1154485
Moldova,2019,NA,11968713370.4969,NA,423182,1920129,319940,2663251,1137901
Moldova,2020,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,2015,2.027,6261622101.40908,3365.92724609,NA,NA,NA,37718,37718
Monaco,2016,2.027,6472990923.1791,2765.08447266,NA,NA,NA,38070,38070
Monaco,2017,2.027,6431314957.07185,2751.73144531,NA,NA,NA,38392,38392
Monaco,2018,2.027,7188238072.74445,2968.50048828,NA,NA,NA,38682,38682
Monaco,2019,NA,NA,NA,NA,NA,NA,38964,38964
Monaco,2020,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,2015,33670,765264949780.999,4676.57666016,2838388,11065869,3035666,16939923,15275237
Netherlands,2016,33670,783528181704.567,4734.83349609,2823015,11078548,3128752,17030314,15435425
Netherlands,2017,33670,833869641687.06,4910.89941406,2801503,11110457,3219336,17131296,15602670
Netherlands,2018,33670,914043438179.607,5306.53466797,2775697,11148111,3307816,17231624,15765213
Netherlands,2019,NA,907050863145.097,NA,2754972,11189384,3400518,17344874,15935776
Netherlands,2020,NA,NA,NA,NA,NA,NA,NA,NA
Norway,2015,365190.7,385801550067.169,7565.54980469,931994,3410713,845900,5188607,4207493
Norway,2016,365145.73,368819929542.194,7496.76855469,931839,3434052,868628,5234519,4265348
Norway,2017,365122.96,398393955268.99,7815.78662109,932445,3456146,888376,5276968,4320306
Norway,2018,365107.85,434166615431.909,8239.09570313,932190,3474085,905640,5311916,4368945
Norway,2019,NA,403336363636.364,NA,931228,3492944,923724,5347896,4418218
