Country,Date_first_restriction,Date_lockdown,Knot_date_1,Knot_date_2,N_knots,N_knots_in_range,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,Prob_equal,Prob_unequal,Min_n_unequal
Albania,2020-03-09,2020-03-11,2020-03-11,2020-03-13,2,1,NA,1.1077821743139782,1.0194326250010781,NA,0.6109188144715186,0.00915173903336005,0,3.0455680715313087,5.077607705728011,459.79846943439276,3233.9125645426375,0.1,0.14835059934005276,2
Albania,2020-03-09,2020-03-11,2020-03-11,2020-03-23,2,1,NA,1.0371877357600008,1.0191833342772496,NA,0.16502408833976032,0.010170151018008078,0,3.727084199006214,5.3294759309710695,468.05339978189596,3241.5024379041624,0.1,0.1480032411986764,2
Albania,2020-03-09,2020-03-11,2020-03-11,2020-03-24,2,1,NA,1.0527285735028562,1.0184806502419528,NA,0.13810310828077604,0.010230833664403678,0,2.477397803317296,6.039181822451244,605.9860198313171,4846.995396520831,0.1,0.09897943528223557,1
Albania,2020-03-09,2020-03-11,2020-03-11,2020-03-26,2,1,NA,1.049479579903458,1.0178826642382375,NA,0.09454863543314182,0.010569903142817147,0,2.067714174394495,6.6808638615166895,586.2709799530429,4680.532286226143,0.1,0.10249963846527513,2
Albania,2020-03-09,2020-03-11,2020-03-12,2020-03-25,2,2,1.4277476611210975,1.0337544090601445,1.0178091248805818,0.9044756471500373,0.11737517650740031,0.010156745094756576,0,4.7279190247314355,6.6891889788176435,692.282755900868,7032.768281541156,0.1,0.06821678860405943,1
Albania,2020-03-09,2020-03-11,2020-03-12,2020-03-26,2,2,1.4459026814920377,1.0290265782844563,1.017861936048256,0.87472876567742,0.09565901669135003,0.010388978199747061,0,5.002513238490977,6.632551004976233,645.227917622227,5946.661400404585,0.1,0.08067600202200632,1
Albania,2020-03-09,2020-03-11,2020-03-13,2020-03-13,2,2,1.222073437586209,NA,1.0198812492521163,0.29877962552547876,NA,0.009114703152107878,0,NA,4.6504203316841295,662.5530510525377,5265.743390256446,0.1,0.09110828834746215,1
Albania,2020-03-09,2020-03-11,2020-03-14,2020-03-14,2,2,1.112229295279115,NA,1.0216638011966093,0.2259409935238192,NA,0.009989184096886157,0,NA,2.9886613047226893,708.7435259903367,5375.648898548961,0.1,0.08924557317958881,1
Albania,2020-03-09,2020-03-11,2020-03-14,2020-03-18,2,2,1.1091215903633893,1.0278407474774853,1.021615980733805,0.31070963701579485,0.4700364266790944,0.010642140306462529,0,2.682267815234831,3.0246299861372474,725.3766022292294,5638.900983706033,0.1,0.08507914371071668,1
Albania,2020-03-09,2020-03-11,2020-04-04,2020-04-04,2,2,1.029617992821753,NA,1.0228956559901565,0.027823002143361152,NA,0.013231277654910552,0,NA,2.043590396805363,723.1364129951985,5461.5872328703845,0.1,0.08784128984992683,1
Andorra,2020-03-13,NA,2020-03-19,NA,1,1,1.749144112823613,0.9654904896576295,NA,0.11492041972291547,0.006707012584553762,NA,0,30.562491303473358,NA,490.00355137301545,5923.900324078493,0.1,0.020191359530070323,1
Andorra,2020-03-13,NA,2020-03-20,NA,1,1,1.6006242604629863,0.9610578124879317,NA,0.0782966151647895,0.006314241993594005,NA,0,33.89702174267789,NA,409.31423576535616,244.8143034841406,0.1,0.48858093486158405,35
Andorra,2020-03-13,NA,2020-03-21,NA,1,1,1.446339458903005,0.9573847442608463,NA,0.050609184267796536,0.005934299790089963,NA,0,36.671603598161894,NA,412.69644320192776,1145.33055302243,0.1,0.10443413121925728,8
Andorra,2020-03-13,NA,2020-03-22,NA,1,1,1.3913081666562053,0.9551092633163683,NA,0.04148447331055938,0.00580562940913208,NA,0,38.385503493905645,NA,476.9348022928139,6948.131892862135,0.1,0.01721492958224452,1
Andorra,2020-03-13,NA,2020-03-23,NA,1,1,1.3162612551445807,0.9513293842942773,NA,0.030550152157089103,0.005677789095489535,NA,0,41.237301406084285,NA,481.3272208458873,7586.120458359435,0.1,0.015767163455988147,1
Andorra,2020-03-13,NA,2020-03-25,NA,1,1,1.227543256005143,0.9444712493834738,NA,0.019865478551755633,0.005770349244103134,NA,0,46.42380908595372,NA,497.5101548987805,7959.60725242771,0.1,0.015027324523742924,1
Andorra,2020-03-13,NA,2020-03-26,NA,1,1,1.200515575069636,0.9414686736101685,NA,0.01728950078216331,0.005978238973144876,NA,0,48.70081747437985,NA,517.6095258224703,8502.787886793723,0.1,0.014067339189955112,1
Andorra,2020-03-13,NA,2020-03-27,NA,1,1,1.1689783141339767,0.9372549031986316,NA,0.015385941869775599,0.006729323550501207,NA,0,51.90604404951732,NA,502.8469427176781,5116.257780757255,0.1,0.023378728435779737,2
Andorra,2020-03-13,NA,2020-03-28,NA,1,1,1.138528498551225,0.9335911726216239,NA,0.014078570181850375,0.007930753630672279,NA,0,54.718266023203434,NA,494.28985094978054,1839.3071455799884,0.1,0.06503079246508982,5
Andorra,2020-03-13,NA,2020-03-29,NA,1,1,1.1150361755816527,0.9311070510210366,NA,0.013378784637518163,0.009419965877298575,NA,0,56.650170364669705,NA,502.7381047841794,506.1697328680121,0.1,0.23630729673628803,17
Austria,2020-03-11,2020-03-16,2020-03-14,2020-03-24,2,2,1.3332522371382285,1.1850732246200695,0.9241196309254841,0.05150891849910509,0.00984776415307363,0.002408648049971947,0,74.68222230915222,1242.1886004987268,1228.5271304604757,325.11519373574384,0.1,0.4833823682659693,22
